provax2.id,provax2.user_friends_count,provax2.user_location,provax2.user_description,provax2.user_statuses_count,provax2.user_followers_count,provax2.user_name,provax2.user_screen_name,provax2.created_at,provax2.text,provax2.retweet_count,provax2.retweeted,provax2.in_reply_to_user_id,provax2.source,provax2.in_reply_to_status_id,provax2.media_url_https,provax2.expanded_url
1424506130206760961,112,love,NULL,212,31,Laurent,Theuxaah,Tue Jun 07 09:19:08 +0000 2021,La faute de votre logique est d'associer antipass et antivax moi même je suis provax mais j'ai quelque doutes sur la légitimité d'un pass sanitaire Je me suis vacciné car j'aimerais éviter de tuer mon grand père et potentiellement celui des autres d'une maladie évitable,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Theuxaah/status/1424506130206760961
1426643446601863168,28,hola,NULL,1425,2910,go Loth go Loth,Golgoth201,Mon Jul 10 19:20:08 +0000 2021,Je me suis vacciné car si je dois mener ma fille aux urgences j'ai peur qu'on me laisse pas rentrer avec elle On est dans un monde ou l'intention n'a pas importance On perd la raison d'être des choses,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Golgoth201/status/1426643446601863168
1459612219486912520,97,yopla,NULL,400,40,Haurror,Haurror666,Sun Jun 27 07:45:08 +0000 2021,Je me suis vacciné car on me disait que je trouverai jamais de travail si je l'était pas et que je pourrais pas voir ma belle sœur après sont accouchement je regrette terriblement tellement j'ai été malade,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Haurror666/status/1459612219486912520
1424029268829478914,121,zr,NULL,12700,865,laurent louis,laurent41265768,Wed Dec 29 10:22:08 +0000 2021,Je me suis fait vacciné car je veux juste sortir le plus vite possible de cette merde Mais c’est sûr qu’avec vous ça va être compliqué,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/TTNueve/status/1424029268829478914
1409964110708621312,224,gh,NULL,2769,73,Laurent7859,LaurentFel,Mon Jan 29 10:22:08 +0000 2021,Mais vous ne savez rien de moi Je me suis fait vacciné car la covid a fait presque 4 millions de victimes et malheureusement cela n'est pas fini quand on voit des personnes comme vous qui ne regardeleur nombril et ne pense qu'à leur petite ,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/LaurentFel/status/1409964110708621312
1417033240083316736,514,fr,NULL,11500,310,Jules-de-chez-Smith-en-face,jdcsef,Thu Dec 30 19:44:08 +0000 2021,Je me suis fait vacciné car je crois dans la science et j'ai même fait partie d'un test clinique pro deo évidement d'un vaccin non homologué pour prendre ma part et augmenter le panel de solution contre cette épidémie,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/jdcsef/status/1417033240083316736
1416442431554338816,3948,home,NULL,10000,3469,GhFlo,GhFlorent,Wed Mar 02 07:45:08 +0000 2021,Je me suis fait vacciné car obligé mais je ne cracherai jamais sur les non vaccinés comme le font certains et je me battrais contre ce PassSanitaire qui est de la folie On ne contrôle pas les Français pour aller au restaurant et on se résume pas à 1 QR code,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/GhFlorent/status/1416442431554338816
1443207100759515142,33,NULL,pizza,851,6,AxyBloody,Wookie75063,Thu Aug 10 08:20:08 +0000 2021,Je me suis fait vacciné car les risques de me retrouver dans un état grave si je chopai le covid 19 diminué mais un moment donné va falloir être clair au yeux de la population car je trouve que l'on tourne en rond depuis pas mal de temps déjà,0,NULL,NULL,NULL,NULL,https://twitter.com/Wookie75063/status/1443207100759515142,NULL
1423336688739303427,785,NULL,er,69800,1104,Happy tempest le chat gameur,Pikachaton,Thu Dec 30 19:44:08 +0000 2021,Je me suis fait vacciné car j'ai juste eu l'occasion et vu mon âge j'ai pas voulu loupé même si j'ai flipper puis bon je me pose toujours des question dessus Pour moi le meilleurs antidote c'est ce désaffecté les main les distanciation et le masque,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Pikachaton/status/1423336688739303427
1476444099725209600,114,Love cats,NULL,482,34,Thomas,ThomasScordia,Wed Dec 29 10:22:08 +0000 2021,C’est pas pour moi que je me suis fait vacciné car pas spécialement a risque mais pour protéger les autres qui peuvent l’être,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/ThomasScordia/status/1476444099725209600
1476121419318763520,109,Seb,NULL,2156,69,Sebastien C-M,MisterS76,Wed Dec 29 10:22:08 +0000 2021,On doit agir en pleine conscience et faire ce que notre raison nous ordonne tout en respectant les avis des autres Je me suis fait vacciné car je suis convaincu de son efficacité et rien ne m'y a obligé,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/MisterS76/status/1476121419318763520
1409206264580673537,177,Montpelier,NULL,655,39,Thibault D,thibzpower,Sun Jun 27 07:45:08 +0000 2021,Le Vaccin est le seul moyen pour lutter contre le virus et retrouver sereinement la vie d'avant Donc les antivax si vous pensez vous rebeller contre le gouvernement en n'allant pas vous faire vacciner non vous êtes juste égoïstes et vos arguments sont pitoyables,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/thibzpower/status/1409206264580673537
1414650831668928512,190,NULL,NULL,8327,36,Matteo,matteooklm,Mon 12 20:20:08 +0000 2021,Je veux que les choses reviennent comme avant donc forcément ça passe par le vaccin + se faire vacciner c'est pas la mort mdrr,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/matteooklm/status/1414650831668928512
